,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__h_dim,param_estimator__k,param_estimator__lambda_,param_estimator__num_experts,param_estimator__num_layers,params,split0_test_AUC-ROC,split1_test_AUC-ROC,split2_test_AUC-ROC,split3_test_AUC-ROC,split4_test_AUC-ROC,mean_test_AUC-ROC,std_test_AUC-ROC,rank_test_AUC-ROC,split0_test_AUC-PRC,split1_test_AUC-PRC,split2_test_AUC-PRC,split3_test_AUC-PRC,split4_test_AUC-PRC,mean_test_AUC-PRC,std_test_AUC-PRC,rank_test_AUC-PRC,split0_test_NLL,split1_test_NLL,split2_test_NLL,split3_test_NLL,split4_test_NLL,mean_test_NLL,std_test_NLL,rank_test_NLL
0,30.780296277999877,6.781917422314845,0.09253897666931152,0.015622033895975508,30,4,0.01,10,1,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.01, 'estimator__num_experts': 10, 'estimator__num_layers': 1}",0.7419694558374748,0.7590489072224148,0.7808629617541865,0.7592878927662928,0.7953819730572176,0.7673102381275173,0.018689363178845484,32,0.38789596156452744,0.4171262497988739,0.4679206277731192,0.44429183055867616,0.47985213965327456,0.4394173618696942,0.03353361368337104,23,-0.6380151520611113,-0.5423229541105841,-0.5955983426125682,-0.565771412942493,-0.5101137978318192,-0.5703643319117152,0.043933880760736385,3
1,22.783012676239014,3.3796206447637,0.08018341064453124,0.000508706646275719,30,4,0.01,10,2,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.01, 'estimator__num_experts': 10, 'estimator__num_layers': 2}",0.7353826207595777,0.760601125807092,0.7817282338915263,0.7544824397191072,0.8067495790190248,0.7677887998392656,0.02445866904055168,31,0.3824914801504331,0.41085197786361316,0.4565805435617746,0.42907750473939,0.4748090321520077,0.4307621076934437,0.032668112358369056,35,-0.6551069456413545,-0.5629833275643668,-0.6097525776686399,-0.5809418695975748,-0.5302673397079627,-0.5878104120359797,0.04239115058473079,27
2,23.73102512359619,4.7290114656101725,0.09136805534362794,0.02099189187816589,30,4,0.01,10,3,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.01, 'estimator__num_experts': 10, 'estimator__num_layers': 3}",0.7365849172355705,0.7564861763943892,0.781079419981674,0.7498091030418115,0.7931068843825015,0.7634133002071893,0.020720145205895508,36,0.3904266479338835,0.40971240224078753,0.4481909977176876,0.4218341492942562,0.472955758913958,0.4286239912201146,0.029020546360688314,37,-0.6724967421815845,-0.5861536991958326,-0.6531750808297799,-0.5923121956791649,-0.5099842455242434,-0.6028243926821211,0.05726628905937123,47
3,47.784811449050906,11.808109757729776,0.1015401840209961,0.018625786860151518,30,4,0.01,20,1,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.01, 'estimator__num_experts': 20, 'estimator__num_layers': 1}",0.7407116428730849,0.73870575924686,0.7708329828504521,0.7515893151445667,0.7888819596216545,0.7581443319473237,0.019133889406296744,38,0.38811485273440915,0.3992432520457983,0.45003599522777593,0.43037393583492944,0.46828171762203424,0.42720995069298945,0.030094823699001936,40,-0.6175919770806795,-0.5834062846092244,-0.601564452771693,-0.5827880527551789,-0.5276284911236829,-0.5825958516680918,0.030353388903877253,17
4,36.59241642951965,13.803464237508308,0.09523916244506836,0.0009673971035913564,30,4,0.01,20,2,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.01, 'estimator__num_experts': 20, 'estimator__num_layers': 2}",0.7392396147716478,0.7307926969461446,0.7722270635590892,0.747539612518362,0.7861136738203576,0.7551825323231202,0.020759125570635327,41,0.3977745620139251,0.39182115321974964,0.445566770198561,0.41911935601556727,0.46763673406879536,0.4243837151033197,0.028690160034258422,41,-0.6293178054659176,-0.595038498965157,-0.6026758038945264,-0.5897260252722526,-0.5176397676474794,-0.5868795802490666,0.03720039111085327,26
5,34.01872572898865,3.374070870207865,0.0957529067993164,0.002216385929717852,30,4,0.01,20,3,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.01, 'estimator__num_experts': 20, 'estimator__num_layers': 3}",0.7177250128136541,0.7252870314604649,0.7573878987513836,0.7406594846118019,0.7893057396725305,0.746073033461967,0.025542387233159262,46,0.37148147701630274,0.4051243187941285,0.430306883837812,0.4135662680390112,0.47564542500650503,0.419224874538752,0.034106793903858734,44,-0.6471636963943276,-0.5943080994179313,-0.6167815705698071,-0.5855569618542388,-0.5070079058018006,-0.590163646807621,0.04671358435021332,30
6,31.51588444709778,21.836370006844824,0.08068780899047852,0.009361178417677732,30,4,0.05,10,1,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.05, 'estimator__num_experts': 10, 'estimator__num_layers': 1}",0.6675235272148556,0.7470483733668901,0.7117757761934083,0.6674602979112179,0.7295633889864211,0.7046742727345585,0.03234353622718366,57,0.34741620461923295,0.4000794929616238,0.38596876854310425,0.35010665584145206,0.4063179925138274,0.3779778228958481,0.024764162455731195,58,-0.6700882601737362,-0.5752390817988645,-0.6237738215083738,-0.6148114047324686,-0.5756389914737182,-0.6119103119374324,0.03519721769625701,53
7,21.63017864227295,9.637622040418178,0.08030309677124023,0.005474643605820675,30,4,0.05,10,2,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.05, 'estimator__num_experts': 10, 'estimator__num_layers': 2}",0.6669874285996275,0.6826907439994527,0.7097491439806107,0.6589063227759665,0.7984844684891261,0.7033636215689567,0.05062765472189054,58,0.3502520822713889,0.35375697245509485,0.38408181061658864,0.3382749339092723,0.46766133400759174,0.37880542665198724,0.0469225998313559,57,-0.6709024724558217,-0.6503897198756675,-0.6258535700216521,-0.6235934875850279,-0.5193291243981166,-0.6180136748672571,0.05230042441136479,59
8,14.91134238243103,5.51522344332743,0.08007369041442872,0.006112258372688903,30,4,0.05,10,3,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.05, 'estimator__num_experts': 10, 'estimator__num_layers': 3}",0.6573073718045774,0.6890308391289182,0.7076798930494478,0.6607066882232812,0.7201629733796712,0.6869775531171791,0.024918077700783924,70,0.34290499503909283,0.3738065487071788,0.3846332058544259,0.3391511498004437,0.39493583327318404,0.3670863465348651,0.02233275745427754,65,-0.6812776772971257,-0.6352286024151073,-0.6284788796306884,-0.6184932020488249,-0.5787738052793645,-0.6284504333342221,0.03287423282684646,65
9,33.276339054107666,2.6936525819014605,0.08936681747436523,0.0017914330322449292,30,4,0.05,20,1,"{'estimator__h_dim': 30, 'estimator__k': 4, 'estimator__lambda_': 0.05, 'estimator__num_experts': 20, 'estimator__num_layers': 1}",0.6732748111037463,0.6836328419843724,0.7054794213275282,0.6544345195442657,0.7273924259252624,0.688842803977035,0.025362517749198718,66,0.3559281146333263,0.35594598631988833,0.3737653778827173,0.33921575397340276,0.40635269101581306,0.3662415847650295,0.02283974978417313,66,-0.6640315646876441,-0.6509977184800674,-0.6264453796359911,-0.6203567060769292,-0.5924823308375832,-0.630862739943643,0.024934048682094163,67
