,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__h_dim,param_estimator__num_layers,params,split0_test_AUC-ROC,split1_test_AUC-ROC,split2_test_AUC-ROC,split3_test_AUC-ROC,split4_test_AUC-ROC,mean_test_AUC-ROC,std_test_AUC-ROC,rank_test_AUC-ROC,split0_test_AUC-PRC,split1_test_AUC-PRC,split2_test_AUC-PRC,split3_test_AUC-PRC,split4_test_AUC-PRC,mean_test_AUC-PRC,std_test_AUC-PRC,rank_test_AUC-PRC,split0_test_NLL,split1_test_NLL,split2_test_NLL,split3_test_NLL,split4_test_NLL,mean_test_NLL,std_test_NLL,rank_test_NLL
0,9.54055323600769,8.845175671454996,0.03652005195617676,0.0038026852922691964,10,2,"{'estimator__h_dim': 10, 'estimator__num_layers': 2}",0.7111247191931155,0.7768781115870201,0.7771226084450111,0.749025361864498,0.7811335584536563,0.7590568719086602,0.02656866562999668,19,0.36082242492180927,0.4115617296085994,0.4327913304532994,0.4298142185500189,0.44632732586101104,0.4162634058789476,0.02985446106936373,20,-0.6566530166123264,-0.5560149334294279,-0.6224997634815338,-0.5781088323939186,-0.5374616938873303,-0.5901476479609074,0.04371592038675984,17
1,4.892993497848511,3.1080648340738,0.03708052635192871,0.004366306366148879,10,4,"{'estimator__h_dim': 10, 'estimator__num_layers': 4}",0.7295887181523215,0.7406443501598763,0.7749832609375894,0.7460695379957724,0.778057934147827,0.7538687602786773,0.0192674420067282,20,0.3920354706726078,0.3867092192504132,0.4431743794790696,0.4264018424393966,0.44729690409379297,0.419123563187056,0.0253361666396033,19,-0.6719445965948144,-0.5859607752167356,-0.6143252241352912,-0.5852603633720059,-0.54208502038405,-0.5999151959405795,0.04277780417793945,20
2,4.02803955078125,1.0327883719956672,0.040245771408081055,0.004188730675884401,10,6,"{'estimator__h_dim': 10, 'estimator__num_layers': 6}",0.7424102231089906,0.7739037736632024,0.7994133196953435,0.7877824827129088,0.809707642148257,0.7826434882657404,0.023388899811615845,11,0.39637807278454434,0.4216281154928688,0.47922460805723316,0.4877183094127874,0.484003066391726,0.4537904344278319,0.0375270437101697,11,-0.6951877372727738,-0.5608344723284858,-0.6118179778625024,-0.5561399744661563,-0.5053115942576037,-0.5858583512375044,0.06422456439543124,16
3,4.3424664497375485,0.9177011219785043,0.04160099029541016,0.006442923943488424,10,8,"{'estimator__h_dim': 10, 'estimator__num_layers': 8}",0.7323163161277081,0.7432463350706069,0.7786456668539646,0.7812068942352479,0.8051115599584392,0.7681053544491934,0.026649705007710543,18,0.3803053552362509,0.39042233887252864,0.4282709238000649,0.4731544730118026,0.49620837616349717,0.4336722934168288,0.04520479532850131,18,-0.6792418475384989,-0.5907616316351604,-0.6242750623229664,-0.5807777103152063,-0.5243087467771826,-0.599872999717803,0.05109300948652658,19
4,9.84353175163269,3.138832944986635,0.03816037178039551,0.004956683856435526,20,2,"{'estimator__h_dim': 20, 'estimator__num_layers': 2}",0.7398654370044873,0.7692403886378496,0.8106758767960145,0.7978020538497367,0.819419314965426,0.7874006142507028,0.0292044923184205,5,0.39261473878397335,0.4054261224195818,0.48820243699016486,0.4963628221292993,0.501426744773383,0.45680657301928046,0.04754345198199005,9,-0.6743553923753297,-0.5531122880118592,-0.5547418830929423,-0.5115175535232906,-0.49589514068774326,-0.557924451538233,0.06259502413432075,3
5,3.556989002227783,0.5375741019109453,0.04047412872314453,0.005533675451789857,20,4,"{'estimator__h_dim': 20, 'estimator__num_layers': 4}",0.7334311320765298,0.7648360805583501,0.7975100574567616,0.7972881435634696,0.8083517699115044,0.780283436713323,0.027595315210300744,16,0.3834091767883949,0.40808704346892055,0.4824588111711314,0.5048516813263415,0.4861972975856849,0.4530008020680946,0.047996948476736113,13,-0.7169999269716045,-0.5887462903099723,-0.6365304457611953,-0.5293721821565307,-0.5187476860780094,-0.5980793062554624,0.07310524496828708,18
6,3.702810859680176,0.7712206768661822,0.03831295967102051,0.001749257519396331,20,6,"{'estimator__h_dim': 20, 'estimator__num_layers': 6}",0.7427556590367945,0.7740574253583618,0.8088645812654844,0.7976105970764215,0.808170389810469,0.7862917305095062,0.02514515383220903,7,0.4091342146666514,0.4174776398463361,0.48434238629414933,0.5039529598399279,0.48375466635290604,0.4597323733999942,0.03868803363665009,6,-0.6624784236716312,-0.5517362720288257,-0.5781844788641813,-0.5355987830369926,-0.5321616852725818,-0.5720319285748425,0.048056937937729166,11
7,2.834459924697876,0.24371036790999245,0.044410991668701175,0.005653701070880496,20,8,"{'estimator__h_dim': 20, 'estimator__num_layers': 8}",0.7426463083778305,0.7722876270009769,0.8013805100114734,0.7929092696427931,0.8014716420049444,0.7821390714076036,0.02243527447612621,12,0.40370122741788517,0.41702673306267857,0.4900402923892933,0.4992674828339372,0.4830057706970742,0.4586083012801737,0.03995044229842588,7,-0.6636364551984492,-0.5336947664953162,-0.5710062095700266,-0.5528076455932767,-0.523077573501037,-0.5688445300716212,0.05015472816092143,9
8,8.147348070144654,1.074103632401027,0.03684554100036621,0.002285865804537007,30,2,"{'estimator__h_dim': 30, 'estimator__num_layers': 2}",0.7426788331892148,0.777710298140366,0.8067274768485028,0.8022984889470102,0.8206699419583677,0.7900170078166923,0.027430037570627865,2,0.3949378418646222,0.4266460217900596,0.4911028837898884,0.4998556894079871,0.5079119633411604,0.4640908800387436,0.04497403111939838,3,-0.6439400950322638,-0.5492048234718553,-0.5626791828851851,-0.530808489968744,-0.5086514699572289,-0.5590568122630554,0.046160635158442584,5
9,2.6623692512512207,0.2200393562461496,0.04340100288391113,0.004490312957854477,30,4,"{'estimator__h_dim': 30, 'estimator__num_layers': 4}",0.7414378434031271,0.7658993054270451,0.8072024512492332,0.7961729918311776,0.8101095894091934,0.7841644362639553,0.026485026920836745,10,0.3874255884609903,0.40412696512651386,0.5026860923619204,0.5127993764967025,0.4762316524857372,0.45665393498637286,0.051393002758778214,10,-0.6671513763743129,-0.5578696358490525,-0.5958465605440452,-0.5561342544485058,-0.5217898065018884,-0.579758326743561,0.04958616200205181,15
