,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__n_estimators,params,split0_test_AUC-ROC,split1_test_AUC-ROC,split2_test_AUC-ROC,split3_test_AUC-ROC,split4_test_AUC-ROC,mean_test_AUC-ROC,std_test_AUC-ROC,rank_test_AUC-ROC,split0_test_AUC-PRC,split1_test_AUC-PRC,split2_test_AUC-PRC,split3_test_AUC-PRC,split4_test_AUC-PRC,mean_test_AUC-PRC,std_test_AUC-PRC,rank_test_AUC-PRC,split0_test_NLL,split1_test_NLL,split2_test_NLL,split3_test_NLL,split4_test_NLL,mean_test_NLL,std_test_NLL,rank_test_NLL
0,0.0797043800354004,0.02237118217220655,0.007985162734985351,0.00012443763428649602,5,10,"{'estimator__max_depth': 5, 'estimator__n_estimators': 10}",0.6533858889423492,0.7075666169822135,0.7024209675121996,0.6589533472466054,0.710577258965999,0.6865808159298733,0.02502927777582689,7,0.32227943116774427,0.37411745644499145,0.37310274417228473,0.3443212142585811,0.3985192890730408,0.36246802702332853,0.02643077736438305,7,-0.6715205214285059,-0.6317184961201256,-0.6313995819780144,-0.6282602075249144,-0.5996965934051591,-0.6325190800913438,0.02288431893196157,12
1,0.21231651306152344,0.0031973243212832427,0.01542210578918457,0.0010407168429097586,5,50,"{'estimator__max_depth': 5, 'estimator__n_estimators': 50}",0.6718285785423725,0.6982510623837098,0.7107473192265377,0.6626330120740926,0.7263763614703881,0.6939672667394202,0.023758061867042105,3,0.36414647957683577,0.37211992801710636,0.3827306993381264,0.340161053546994,0.41944699552665715,0.3757210312011439,0.025971313419987773,4,-0.6690256279868932,-0.635044798107519,-0.6342253988751752,-0.6221864177732168,-0.5929794936754971,-0.6306923472836602,0.024476424801439644,10
2,0.38277454376220704,0.00994325736934469,0.02336435317993164,0.00044321790441203407,5,100,"{'estimator__max_depth': 5, 'estimator__n_estimators': 100}",0.6720113904132557,0.6996126182809628,0.7117948424621507,0.6664296782630504,0.7328007998638529,0.6965298658566546,0.024759969540648363,2,0.3625302127502276,0.3760746957487152,0.3839967842050868,0.3449036065576608,0.428493647390608,0.37919978933045967,0.02798844314471729,2,-0.6707941166050052,-0.6359788556118499,-0.6328739227822879,-0.6222773692556175,-0.5915323344468626,-0.6306913197403247,0.025476172396865143,9
3,0.559650182723999,0.008573133596742156,0.0312744140625,0.0008266145032092837,5,150,"{'estimator__max_depth': 5, 'estimator__n_estimators': 150}",0.6754102332028976,0.7006147189351601,0.7125552501214072,0.666132416430798,0.7327952017125865,0.69750156408057,0.024306362862776664,1,0.36583501101834387,0.37334339267924416,0.3839390111179429,0.3481240629170412,0.43072939346645894,0.3803941742398062,0.027746145686186326,1,-0.6717727174079313,-0.6364177123838823,-0.6329682543497576,-0.6229660060691286,-0.5909960341006728,-0.6310241448622745,0.025924889773230583,11
4,0.0872675895690918,0.0014698275674910409,0.008905982971191407,0.00024328087881418412,10,10,"{'estimator__max_depth': 10, 'estimator__n_estimators': 10}",0.6350783455413531,0.6833978782607526,0.6796535995433067,0.6453565574504676,0.7198410796818457,0.6726654920955452,0.030159991114550228,8,0.3266902495194292,0.34935001450886516,0.3691874657396063,0.32179029744979315,0.41404987723574915,0.3562135808906886,0.033517329680551086,8,-0.685173214563866,-0.6215240709506562,-0.6173292232169155,-0.6263802383927494,-0.55753861349681,-0.6215890721241994,0.04046358914442731,7
5,0.3050032138824463,0.006393503767880293,0.018096923828125,0.0004721486862074529,10,50,"{'estimator__max_depth': 10, 'estimator__n_estimators': 50}",0.6521179820709782,0.6923965963345657,0.6991365223350122,0.658267573716456,0.735926807531081,0.6875690963976187,0.030367545383059604,6,0.3551867319641083,0.3658869038636025,0.38203064104102336,0.33056507647731426,0.44024337968866617,0.37478254660694293,0.03675858706935472,6,-0.6707179641017192,-0.6101439591304855,-0.6049501693638222,-0.6018240421567016,-0.5482095598882711,-0.6071691389281999,0.0388768017773077,6
6,0.5752057552337646,0.004959922100810054,0.029960250854492186,0.0011733384648274824,10,100,"{'estimator__max_depth': 10, 'estimator__n_estimators': 100}",0.6513721544995833,0.695987223356852,0.7054682058753268,0.6602997026262047,0.7411045376374906,0.6908463647990915,0.03242660157616968,5,0.35278129865007557,0.36859277610847385,0.37953331645166605,0.3322949631031192,0.44435845183317674,0.37551216122930225,0.037916428199816686,5,-0.670600847754346,-0.6097255057669949,-0.6014235432631534,-0.6016998493117414,-0.546246295267872,-0.6059392082728216,0.03948941865120309,5
7,0.8420013427734375,0.011951793583580547,0.04093379974365234,0.0015990543627397262,10,150,"{'estimator__max_depth': 10, 'estimator__n_estimators': 150}",0.6503627638014551,0.6972966274013686,0.7059835559039822,0.6631659560746659,0.7428466823116333,0.6919311170986211,0.03278419437082416,4,0.35139952405163627,0.3707205827177465,0.37930026431950886,0.33894691168763247,0.44590909252176086,0.377255275059657,0.037138339762644336,3,-0.6697761072302837,-0.6104636733153979,-0.6002779224860927,-0.5993011793901816,-0.5451231602073431,-0.6049884085258598,0.039663095285519465,4
8,0.0999223232269287,0.00264590408425403,0.009591150283813476,0.00033585457154890484,15,10,"{'estimator__max_depth': 15, 'estimator__n_estimators': 10}",0.6284191707967569,0.6487942828110859,0.657925903993486,0.6215851277274194,0.6892147137329369,0.6491878398123371,0.023966253840449432,12,0.30777912215604986,0.2978996338389206,0.3196000399574186,0.286827670673774,0.36681609110325736,0.31578451154588405,0.027717265782715144,12,-0.6732938479763058,-0.6160767562374788,-0.5958685430591079,-0.6565297229716978,-0.569218336469824,-0.6221974413428828,0.03828056310149008,8
9,0.38284916877746583,0.007342612187677425,0.021576356887817384,0.00058589603527572,15,50,"{'estimator__max_depth': 15, 'estimator__n_estimators': 50}",0.6299870910145162,0.660278345092735,0.675176391024498,0.635832982515854,0.7162565834258894,0.6635062786146986,0.031043688538908057,11,0.31530244975049715,0.32245169847946037,0.3371970356166303,0.30726204038722116,0.42311003572242734,0.34106465199124725,0.04218803883091909,11,-0.626961002043576,-0.5729899051926514,-0.5654269862670552,-0.5742718449736284,-0.5078638027126248,-0.5695027082379072,0.03782149367437017,3
