,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__h_dim,param_estimator__lambda_,param_estimator__num_layers,params,split0_test_AUC-ROC,split1_test_AUC-ROC,split2_test_AUC-ROC,split3_test_AUC-ROC,split4_test_AUC-ROC,mean_test_AUC-ROC,std_test_AUC-ROC,rank_test_AUC-ROC,split0_test_AUC-PRC,split1_test_AUC-PRC,split2_test_AUC-PRC,split3_test_AUC-PRC,split4_test_AUC-PRC,mean_test_AUC-PRC,std_test_AUC-PRC,rank_test_AUC-PRC,split0_test_NLL,split1_test_NLL,split2_test_NLL,split3_test_NLL,split4_test_NLL,mean_test_NLL,std_test_NLL,rank_test_NLL
0,64.15049147605896,2.2024391858141597,0.0529381275177002,0.0054911756240373436,20,0.01,2,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.01, 'estimator__num_layers': 2}",0.7202182078380309,0.74492304517472,0.783888890758131,0.7807467262011393,0.7203365160689335,0.7500226772081909,0.027879987127797608,4,0.37965157213073225,0.373044636058978,0.4482944454271578,0.46896854647792924,0.4179953026608752,0.4175909005511345,0.03743339693694852,3,-0.7026785589532875,-0.5977380883722597,-0.5949415890838455,-0.5968567453416326,-0.6232126298881423,-0.6230855223278335,0.04112806770165316,9
1,73.91878008842468,0.9480721355843911,0.05762085914611816,0.0019797735158534257,20,0.01,4,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.01, 'estimator__num_layers': 4}",0.7243185771628718,0.7246836401320284,0.7886644303054978,0.778745946938483,0.753821857869657,0.7540468904817076,0.02666248741908366,3,0.37508853052497615,0.3663426609411201,0.4620966344244337,0.4730955627441771,0.38620127328024817,0.4125649323829911,0.04550465539656321,5,-0.6673938517363238,-0.6080959171757349,-0.7067423035252396,-0.5848527646496157,-0.5693312195983257,-0.6272832113370479,0.05186432148293139,10
2,83.33282542228699,0.5840224049300179,0.059226179122924806,0.0016080841194076037,20,0.01,6,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.01, 'estimator__num_layers': 6}",0.7317622727889578,0.7574843516403159,0.7584057010386629,0.7378883997348715,0.7922514868689764,0.755558442414357,0.021150336245575878,1,0.3826300550390895,0.3931424472623556,0.4451304893755739,0.4033911917573435,0.4638578522217515,0.41763040713122274,0.031370914180559664,2,-0.6380506856982782,-0.612088074282099,-0.6027300321435459,-0.6815189923957089,-0.5290799951232253,-0.6126935559285714,0.04994154723241565,7
3,62.99541530609131,0.2790751949037634,0.04832954406738281,0.0026674442577114725,20,0.1,2,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.1, 'estimator__num_layers': 2}",0.7316759138070067,0.7352699054649534,0.771666851721628,0.6905504326251298,0.7772708340797534,0.7412867875396942,0.03137052558985648,8,0.3839853039559592,0.3719877481013146,0.4552893943825408,0.38004149045486235,0.47186243032589276,0.41263327344411393,0.04210137024621627,4,-0.6194551621090112,-0.6113629309173606,-0.5994935160283386,-0.6068382942207123,-0.5582697652251802,-0.5990839337001206,0.021409600335437814,2
4,73.15818824768067,0.5079760988699289,0.05372352600097656,0.0029005553494294892,20,0.1,4,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.1, 'estimator__num_layers': 4}",0.7426547199669817,0.7228207535213717,0.7630909561958084,0.7129430376912329,0.7842371735158181,0.7451493281782426,0.026045326384300602,6,0.39984750354750015,0.3400759299810262,0.41518128835201396,0.35375786174263385,0.46002594818609277,0.3937777063618534,0.04328799846259966,10,-0.5984446975400567,-0.5981493993526416,-0.6775068480411546,-0.5639776184634354,-0.5232993842267369,-0.5922755895248051,0.05078468081496543,1
5,83.39130735397339,0.4530849193759811,0.05952343940734863,0.0014328230269774504,20,0.1,6,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.1, 'estimator__num_layers': 6}",0.6836266734856616,0.7446920068593705,0.7439484223784161,0.7117405547991831,0.7863779065601375,0.7340771128165537,0.03461115544722142,14,0.35787762873035717,0.37993811001505057,0.4267916911941748,0.4098705119204131,0.4653659339577762,0.4079687751635544,0.03727517605028001,6,-0.7104799586321001,-0.5868576683026292,-0.6929420338296838,-0.7061870535987136,-0.543804636518522,-0.6480542701763298,0.0691437757315659,13
6,62.946602487564085,0.7489584240845119,0.05324497222900391,0.003779224211960697,20,0.5,2,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.5, 'estimator__num_layers': 2}",0.7448821087741847,0.7228611291492968,0.7612695667582969,0.7114410537064239,0.7371847121206693,0.7355277141017742,0.017282956365571468,13,0.3861996953328095,0.36586002502322645,0.4302911356864235,0.3727767251918505,0.4068144767899339,0.39238841160484883,0.02354315865473405,11,-0.6874963155114259,-0.6933496310197268,-0.6004694858824601,-0.5975536652783138,-0.5699708849928898,-0.6297679965369632,0.050689335109360904,11
7,73.2100380897522,0.6028516970320803,0.05340819358825684,0.002249326958018914,20,0.5,4,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.5, 'estimator__num_layers': 4}",0.7304164185247868,0.701290449930296,0.8008971240215921,0.7573072668481959,0.7536667890795743,0.748715609680889,0.03287931679200266,5,0.3602849990444326,0.3434183859861134,0.4875248293507229,0.4119861948522106,0.3961518451519989,0.3998732508770957,0.05019512513035285,7,-0.7209731385010065,-0.6033056439275296,-0.6000452444943695,-0.5872790562727453,-0.5297268536008846,-0.6082659873593071,0.06229596190227093,5
8,82.0292564868927,1.4674906658705378,0.06022481918334961,0.00160167552546496,20,0.5,6,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.5, 'estimator__num_layers': 6}",0.7073854874291603,0.7528433975193662,0.7271902936990469,0.7626176731396224,0.7436293038586937,0.7387332311291779,0.019542033330642476,10,0.3443674134174603,0.3804549418275514,0.3988309707625136,0.4209839635167784,0.41599615930741085,0.39212668976634296,0.027801508539900426,12,-0.5771852153442077,-0.5936775471087455,-0.6384510289565053,-0.605878124929253,-0.6426894695421641,-0.6115762771761751,0.02540024265019297,6
9,63.87721238136292,0.3537527901892298,0.04894661903381348,0.0035018806883266897,30,0.01,2,"{'estimator__h_dim': 30, 'estimator__lambda_': 0.01, 'estimator__num_layers': 2}",0.7032553971559857,0.7344422050924883,0.7566588943582911,0.7355595688079968,0.7741660993873384,0.7408164329604201,0.023842318034373707,9,0.33565627698732836,0.36675988403663085,0.40800526320355845,0.42475325687453946,0.4463011877828037,0.3962951737769721,0.039992497467972905,9,-0.7687522787233961,-0.6212429048228502,-0.637979621442373,-0.6068495054979758,-0.5468308243200176,-0.6363310269613225,0.07300027889301698,12
