,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__h_dim,param_estimator__lambda_,param_estimator__num_layers,params,split0_test_AUC-ROC,split1_test_AUC-ROC,split2_test_AUC-ROC,split3_test_AUC-ROC,split4_test_AUC-ROC,mean_test_AUC-ROC,std_test_AUC-ROC,rank_test_AUC-ROC,split0_test_AUC-PRC,split1_test_AUC-PRC,split2_test_AUC-PRC,split3_test_AUC-PRC,split4_test_AUC-PRC,mean_test_AUC-PRC,std_test_AUC-PRC,rank_test_AUC-PRC,split0_test_NLL,split1_test_NLL,split2_test_NLL,split3_test_NLL,split4_test_NLL,mean_test_NLL,std_test_NLL,rank_test_NLL
0,61.54195384979248,1.207891984905547,0.048941516876220705,0.008140983414882,20,0.01,2,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.01, 'estimator__num_layers': 2}",0.7273590862546783,0.7382863013345267,0.7634834970228582,0.7436242655225537,0.7813854752606499,0.7508277250790535,0.019255642326577088,2,0.39554082128617585,0.38231633872107473,0.4427433169710566,0.39782182819851314,0.4389969196904014,0.4114838449734443,0.024599585352536712,3,-0.5991330998057892,-0.6380442224294299,-0.5893833964939967,-0.5606425410930631,-0.47828434801322356,-0.5730975215671005,0.05348984843355706,2
1,65.42371768951416,3.1911827024120734,0.05316805839538574,0.003589442171041705,20,0.01,4,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.01, 'estimator__num_layers': 4}",0.6924986569495989,0.7436332681715561,0.7367576351994725,0.6770230599046971,0.7851586292142884,0.7270142498879225,0.03858066719255224,11,0.3552811631042243,0.38228256137140637,0.41540749298594704,0.36065632771677475,0.45172750327013245,0.39307100968969694,0.03615156277305589,7,-0.6671118837569516,-0.6122217452480034,-0.6542359092267203,-0.5878565617475683,-0.4960508384442222,-0.6034953876846931,0.06080577678703071,7
2,83.37121357917786,11.076867906125065,0.06762995719909667,0.01916319572429592,20,0.01,6,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.01, 'estimator__num_layers': 6}",0.7004633103304408,0.7170504033637384,0.7393467223401714,0.691139917953495,0.812437300705815,0.7320875309387322,0.04338593068127782,8,0.3712295382924591,0.3389614314377896,0.42648889090837366,0.3613677923634482,0.5009154792336025,0.3997926264471346,0.05819153556560201,6,-0.6157719333193156,-0.5303630211270783,-0.6576875373465085,-0.671188754244932,-0.4911811789095278,-0.5932384849894724,0.07086141234911855,4
3,51.90826277732849,0.6423519266810163,0.042212724685668945,0.002264002098496373,20,0.1,2,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.1, 'estimator__num_layers': 2}",0.7305610978581851,0.7282568832034024,0.7514313720872069,0.7482668123678835,0.6902095052129985,0.7297451341459353,0.02181417943894918,9,0.3835600068286671,0.3449894899028434,0.42539847424654254,0.4197945237690048,0.3286921374245463,0.38048692643432086,0.03876685782236826,13,-0.613531713501594,-0.5507551209573939,-0.6425966012462877,-0.5749356864330734,-0.6507987514785698,-0.6065235747233837,0.03851904373280892,8
4,60.34880828857422,1.426481062330094,0.052361154556274415,0.00623317056017348,20,0.1,4,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.1, 'estimator__num_layers': 4}",0.7037348577375965,0.7087633057321054,0.780347611725531,0.7077714655512164,0.7816788183870159,0.736459211826693,0.03641960410126839,6,0.37003521300750813,0.3547635726228025,0.44346530685445185,0.39290237946577855,0.46083646925764066,0.4044005882416363,0.04120214083256124,4,-0.6495151011005912,-0.6719389500389001,-0.6169599185990834,-0.6647893235417174,-0.49344785721508017,-0.6193302300990744,0.06572263416392275,12
5,71.04690675735473,2.77260630175133,0.05889096260070801,0.008206773162182142,20,0.1,6,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.1, 'estimator__num_layers': 6}",0.7190203975429188,0.6933745837665302,0.7868722010437099,0.7169591514098383,0.7144819694744008,0.7261416606474798,0.03172651612293897,12,0.39186701413820185,0.3178997017628282,0.46929527286261563,0.39801710679101876,0.3814379136741763,0.3917034018457682,0.04819285108882158,8,-0.6076509674930104,-0.6107553277829051,-0.57574333087685,-0.6258044209850971,-0.6564712248737977,-0.615285054402332,0.026265198712207394,10
6,51.83706045150757,1.191568161591881,0.04241652488708496,0.002388491706667767,20,0.5,2,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.5, 'estimator__num_layers': 2}",0.6882956662371149,0.7206393480681943,0.7642461477725551,0.7711733277202536,0.729491172835083,0.7347691325266402,0.030270284411660513,7,0.35021607746200406,0.3516923566877046,0.4240918133019851,0.4170698992622395,0.40858823584893067,0.3903316765125727,0.032527648775670895,9,-0.6303460357844587,-0.5945671306185799,-0.6010407982821786,-0.5386614345293722,-0.5668901177775268,-0.5863011033984232,0.0312149524839891,3
7,60.17036337852478,0.46367314709843366,0.04761514663696289,0.004600639495541371,20,0.5,4,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.5, 'estimator__num_layers': 4}",0.702943046812176,0.72359461972327,0.7334703861592347,0.7192336802694278,0.7559900218551826,0.7270463509638583,0.017509573700248096,10,0.3483054767198328,0.3811143534168709,0.3941395358774571,0.39092673857231924,0.4335362065081047,0.3896044622189169,0.02731300647990944,10,-0.6028186250268022,-0.5956570402059281,-0.5910808050458793,-0.6255923655494753,-0.5574835091413599,-0.594526468993889,0.02199627898723215,5
8,67.38371067047119,1.8015951723192463,0.05785117149353027,0.0024201497036643598,20,0.5,6,"{'estimator__h_dim': 20, 'estimator__lambda_': 0.5, 'estimator__num_layers': 6}",0.6517916124119167,0.6651996855187203,0.6830333760642062,0.7242266713840422,0.697740138296729,0.6843982967351229,0.025290115488306366,17,0.3257042091057386,0.328494599988572,0.34004092570354466,0.37385322508769514,0.35142916281888714,0.34390442454088754,0.017533907141478684,17,-0.7711143806749847,-0.6512411920512666,-0.6609517868571892,-0.6465392525154712,-0.5802054214452377,-0.6620104067088299,0.06156652665465151,15
9,52.39735903739929,0.3280811350539136,0.04357633590698242,0.0032845537496548447,30,0.01,2,"{'estimator__h_dim': 30, 'estimator__lambda_': 0.01, 'estimator__num_layers': 2}",0.7329729808541016,0.7398256221491724,0.7502257109755537,0.7735295895883345,0.7515193382537351,0.7496146483641795,0.013774583743977631,3,0.38231318813855353,0.37433700995619706,0.4291187634930512,0.4645229371809058,0.4289951417820059,0.41585740811014266,0.03336451848514055,2,-0.5995020381495699,-0.6399136195136687,-0.636181649157802,-0.5474076561259718,-0.6184741090122025,-0.608295814391843,0.03366185194045004,9
