,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__h_dim,param_estimator__num_layers,params,split0_test_AUC-ROC,split1_test_AUC-ROC,split2_test_AUC-ROC,split3_test_AUC-ROC,split4_test_AUC-ROC,mean_test_AUC-ROC,std_test_AUC-ROC,rank_test_AUC-ROC,split0_test_AUC-PRC,split1_test_AUC-PRC,split2_test_AUC-PRC,split3_test_AUC-PRC,split4_test_AUC-PRC,mean_test_AUC-PRC,std_test_AUC-PRC,rank_test_AUC-PRC,split0_test_NLL,split1_test_NLL,split2_test_NLL,split3_test_NLL,split4_test_NLL,mean_test_NLL,std_test_NLL,rank_test_NLL
0,21.88097381591797,4.856838003183851,0.030391788482666014,0.0003834211563749498,10,2,"{'estimator__h_dim': 10, 'estimator__num_layers': 2}",0.6419208929294424,0.69896100050806,0.7246640130906759,0.6686112778116154,0.7284073707498835,0.6925129110179353,0.03314973250633776,3,0.2981303582014976,0.37087842977631225,0.38079849683059264,0.3515135144244432,0.41863873868121537,0.36399190758281225,0.03952117346912856,7,-0.7288563983450465,-0.6449845817647384,-0.6293824215878348,-0.6349338114574625,-0.5794305397010419,-0.6435175505712247,0.04830217082225476,4
1,7.7483885288238525,3.0788529901737456,0.03154215812683105,0.00011642783602210372,10,4,"{'estimator__h_dim': 10, 'estimator__num_layers': 4}",0.6549308174830956,0.6743901878251779,0.7155178118204136,0.6521773449536026,0.7224251863064741,0.6838882696777528,0.029731640461798166,15,0.3137590510517959,0.3399975175353356,0.3733958937012877,0.33848948685458247,0.39376536084990904,0.3518814619985821,0.028252515304437033,18,-0.7032089492826242,-0.6755698901210655,-0.6502990166286906,-0.6372773852905096,-0.5697210971634264,-0.6472152676972633,0.044839479192357055,6
2,4.613418865203857,1.8905085708416305,0.03245830535888672,0.00029533535988491297,10,6,"{'estimator__h_dim': 10, 'estimator__num_layers': 6}",0.6511540139542656,0.7018770180804306,0.704596204466666,0.6619629133674895,0.7344500152269715,0.6908080330191647,0.030403094805948896,6,0.32552515796640125,0.38099375258496837,0.36622409917072807,0.35141004508557244,0.41554393918956495,0.36793939879944704,0.03003910128805519,2,-0.7249731295473592,-0.6426266650661605,-0.6613866811928139,-0.6264874391055235,-0.5511448039278952,-0.6413237437679504,0.056131623760600956,3
3,5.429632902145386,1.1683714864369783,0.0335540771484375,0.0008794165519988335,10,8,"{'estimator__h_dim': 10, 'estimator__num_layers': 8}",0.6520989158022357,0.707586804796176,0.7115677295550719,0.6612681827953137,0.7347366405718176,0.693451654704123,0.031553984132019125,2,0.3019082102936961,0.38624997242424025,0.3613674115094777,0.35726933912891445,0.41530004370204865,0.3644189954116754,0.03750600122057906,4,-0.7220147599173093,-0.6312943860532523,-0.6301643416451219,-0.6006960644259361,-0.5570797593930439,-0.6282498622869327,0.05409100795197481,1
4,21.4713152885437,2.1356588003677297,0.03298592567443848,0.00044934308804410277,20,2,"{'estimator__h_dim': 20, 'estimator__num_layers': 2}",0.6489092411961503,0.6822937169915223,0.7244307316848861,0.661300092257533,0.712433605925979,0.6858734776112141,0.028896792158930068,14,0.2894018039986587,0.35219212971354313,0.3924273991639656,0.3518550967499422,0.3970949618433289,0.3565942782938877,0.038680706495632926,11,-0.7335462405820434,-0.663504563002729,-0.6318861185128093,-0.6554545247819907,-0.6083759637403761,-0.6585534821239897,0.04215913232677383,10
5,6.421507358551025,0.9907483006309309,0.035732173919677736,0.002711096645410771,20,4,"{'estimator__h_dim': 20, 'estimator__num_layers': 4}",0.6656045633431917,0.6797893065149441,0.7246225159175306,0.6574048986062843,0.7026346019490524,0.6860111772662005,0.02466022898049002,12,0.30223554424438226,0.3580030216025829,0.38822694738510577,0.3544951725875577,0.3975474158634364,0.36010162033661297,0.033399223821946954,9,-0.7169508627298268,-0.6592109798153791,-0.6246973111937083,-0.6377594072871905,-0.5860567731442179,-0.6449350668340645,0.04316893990143701,5
6,4.972718381881714,0.4725302842449333,0.0360142707824707,0.0007117989518058491,20,6,"{'estimator__h_dim': 20, 'estimator__num_layers': 6}",0.658287602326982,0.6838986482015461,0.7162770979344503,0.6577116772956899,0.6986817473397585,0.6829713546196853,0.022822303899101868,16,0.28892748934537715,0.358054588992563,0.37601156405135844,0.35320583757484936,0.39236968781410747,0.353713833555651,0.035235875092075986,16,-0.7664683938626341,-0.6373000134908804,-0.6414612301040742,-0.6410662264346806,-0.6181833702408059,-0.6608958468266151,0.05347447964517991,11
7,4.223823308944702,0.8504406995129573,0.037930536270141604,0.000605566790501347,20,8,"{'estimator__h_dim': 20, 'estimator__num_layers': 8}",0.6571492339285374,0.6928631591461452,0.716881050035497,0.653481714198703,0.7173958072086275,0.687554192903502,0.027799881120249764,10,0.3053198941324789,0.3646372753822061,0.3806135652728906,0.35505182046586065,0.4149469859625957,0.3641139082432064,0.03576414941200646,6,-0.6922835731319623,-0.652101286596433,-0.6472288575023413,-0.6201071678775882,-0.5744916351843484,-0.6372425040585347,0.038939237919760006,2
8,19.97785873413086,3.7014501977508645,0.032569265365600585,0.00028993183806956974,30,2,"{'estimator__h_dim': 30, 'estimator__num_layers': 2}",0.6595112081621575,0.6886057734904842,0.7265426013344145,0.6695831168714844,0.716278416215829,0.692104223214874,0.02589261480184193,4,0.29698855939545676,0.3663306219747037,0.39712440741634975,0.3630494596854826,0.3977800649182476,0.3642546226780481,0.03670112664918936,5,-0.7186870263583338,-0.6599953681592258,-0.6373901709766914,-0.6554468188713315,-0.6047267519412072,-0.6552492272613579,0.03719781083340564,8
9,4.014479732513427,0.7352056319718208,0.03940868377685547,0.0031736661817827823,30,4,"{'estimator__h_dim': 30, 'estimator__num_layers': 4}",0.669542869383722,0.6750816204533958,0.7287245675602017,0.6715295940668553,0.7234614041059081,0.6936680111140165,0.02658644130561254,1,0.31476098435302247,0.3442173676047042,0.40550044298173166,0.3662467116946987,0.40994309594810974,0.3681337205164533,0.03624499283003444,1,-0.7379851197792046,-0.7154144389908036,-0.644303380647487,-0.6542510204953088,-0.5771799409943073,-0.6658267801814223,0.056782530618806996,14
